Call,Band,Mode,Submodes,TheirClass,TheirSection,Tier,FirstUTC,BestSNR,SeenIn
K0A,10m,Digital,FT8,3A,MO,CONFIRMED,2026-06-27 19:26:30,11,joel
K0K,10m,Digital,FT8,2A,KS,CONFIRMED,2026-06-27 19:46:15,-4,joel
K0RQ,10m,Digital,FT8,3A,ND,CONFIRMED,2026-06-28 17:06:45,3,joel
K1CCN,10m,Digital,FT4,3A,WI,CONFIRMED,2026-06-27 20:16:15,-9,joel
K6AVP,10m,Digital,FT8,4A,SB,CONFIRMED,2026-06-27 19:44:15,5,joel
K6T,10m,Digital,FT4+FT8,4A,SV,CONFIRMED,2026-06-27 19:57:30,3,joel
K7JEP,10m,Digital,FT8,4A,ID,CONFIRMED,2026-06-27 20:39:30,-9,joel
K9BEL,10m,Digital,FT4,3A,WI,CONFIRMED,2026-06-27 20:12:30,-15,joel
K9LRD,10m,Digital,FT8,2A,WI,CONFIRMED,2026-06-28 17:01:30,-6,joel
KB9SCT,10m,Digital,FT4,1D,WI,EXCHANGED,2026-06-27 20:17:45,-7,joel
KD9ZCL,10m,Digital,FT4,1E,WI,CONFIRMED,2026-06-28 16:50:45,15,joel
KF0OVL,10m,Digital,FT8,1D,CO,CONFIRMED,2026-06-27 19:14:45,2,joel
N0VFJ,10m,Digital,FT8,1D,MN,CONFIRMED,2026-06-27 20:35:00,-1,joel
N7DB,10m,Digital,FT8,1D,OR,CONFIRMED,2026-06-28 17:11:15,-3,joel
N7FRO,10m,Digital,FT4,2B,ID,CONFIRMED,2026-06-27 20:20:00,-8,joel
N9GMT,10m,Digital,FT8,9E,WI,CONFIRMED,2026-06-27 19:34:30,6,joel
W0FX,10m,Digital,FT8,3A,ND,CONFIRMED,2026-06-28 16:57:45,8,joel
W0MR,10m,Digital,FT8,3A,MN,CONFIRMED,2026-06-28 17:22:30,6,joel
W0RHX,10m,Digital,FT8,2A,MO,EXCHANGED,2026-06-27 19:51:30,-15,joel
W6EU,10m,Digital,FT4,1D,SV,CONFIRMED,2026-06-27 20:09:52,8,joel
W9LRC,10m,Digital,FT8,4A,WI,CONFIRMED,2026-06-28 17:04:15,-12,joel
WJ0D,10m,Digital,FT8,1D,CO,CONFIRMED,2026-06-27 20:00:00,26,joel
AA4JS,15m,Digital,FT4,6A,SFL,CONFIRMED,2026-06-28 02:21:15,-1,joel
AB6MV,15m,Digital,FT4,2A,ORG,CONFIRMED,2026-06-28 15:38:07,0,joel
AB9M,15m,Digital,FT4,1D,IL,CONFIRMED,2026-06-27 22:33:45,8,joel
AG7LR,15m,Digital,FT4,1D,WWA,CONFIRMED,2026-06-28 18:33:00,-4,joel
AG7MI,15m,Digital,FT4,4A,OR,CONFIRMED,2026-06-27 22:32:15,-10,joel
AG7T,15m,Digital,FT4,1E,WWA,CONFIRMED,2026-06-27 22:48:22,4,joel
K0HNY,15m,Digital,FT4,6A,MN,CONFIRMED,2026-06-27 20:51:52,12,joel
K0QIK,15m,Digital,FT4,2A,MN,CONFIRMED,2026-06-28 16:45:30,2,joel
K1CCN,15m,Digital,FT4,3A,WI,CONFIRMED,2026-06-27 23:47:37,-10,joel
K1WAS,15m,Digital,FT8,3D,CT,CONFIRMED,2026-06-28 02:26:00,-6,joel
K1WTF,15m,Digital,FT8,1D,CO,CONFIRMED,2026-06-28 02:35:45,-12,joel
K2BR,15m,Digital,FT4,4F,SNJ,CONFIRMED,2026-06-28 02:17:37,4,joel
K4YT,15m,Digital,FT8,1D,VA,EXCHANGED,2026-06-28 02:31:45,8,joel
K6AAR,15m,Digital,FT8,3A,SCV,CONFIRMED,2026-06-27 23:33:00,-2,joel
K6MI,15m,Digital,FT4,1A,SCV,CONFIRMED,2026-06-27 21:46:00,6,joel
K6PV,15m,Digital,FT4,3A,LAX,CONFIRMED,2026-06-28 03:45:00,6,joel
K6RO,15m,Digital,FT4,1D,ME,CONFIRMED,2026-06-28 00:49:30,12,joel
K7BEL,15m,Digital,FT4,2F,WWA,CONFIRMED,2026-06-28 15:09:22,5,joel
K7CA,15m,Digital,FT8,1E,NV,CONFIRMED,2026-06-28 01:46:45,9,joel
K7JEP,15m,Digital,FT8,4A,ID,EXCHANGED,2026-06-28 16:09:15,-17,joel
K7T,15m,Digital,FT4+FT8,2D,AZ,CONFIRMED,2026-06-28 18:06:15,-9,joel
K7UKE,15m,Digital,FT4,1D,CO,CONFIRMED,2026-06-28 01:13:52,0,joel
K8BSR,15m,Digital,FT4,10A,OH,CONFIRMED,2026-06-27 21:47:30,0,joel
K8CAD,15m,Digital,FT8,3A,MI,CONFIRMED,2026-06-27 21:09:30,-12,joel
K8EP,15m,Digital,FT4,2A,WV,EXCHANGED,2026-06-28 04:03:37,-6,joel
K9LRD,15m,Digital,FT4,2A,WI,CONFIRMED,2026-06-28 16:26:00,-6,joel
K9OM,15m,Digital,FT4,1E,WI,CONFIRMED,2026-06-27 20:54:07,16,joel
